Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
XLWUW-432LD1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-3316VF	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-44230F	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022FCB	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-037V0F	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W5C	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-A04119	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-461GKW	System	AREA52	XLW	No	Approved	Yes	No				
52XLWUW3-430XXC	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZFM	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-3217XJ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016PK	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W59	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-1016P8	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W70	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121NFW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-391395	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-037UZB	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW3-20263N	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-DLNVV1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-490W6N	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DNS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-032865	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DXS	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-39174K	System	AREA52	XLW	No	Approved	Yes	No				
TYNMXGWKPL1103	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491DTW	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-43201R	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491QH5	System	AREA52	XLW	No	Approved	Yes	No				
