"Plugin","Plugin Name","IP Address","NetBIOS Name","DNS Name"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.190.160","","xlwuw-432lbn.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.191.117","AREA52\XLWUW-460N25","xlwuw-460n25.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.191.119","","xlwuw-460n4p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.58","AREA52\XLWUW-460N6P","xlwuw-460n6p.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.106","AREA52\XLWUW-MQ03","xlwuw-mq03.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.117","","xlwuw-460n2w.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.174","","xlwuw-460n6f.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.190","","xlwuw-460n4b.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.191","","xlwuw-460n4l.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.210","","xlwuw-460n6m.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.218","","xlwuw-460n19.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.192.219","","xlwuw-290t4y.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.193.62","","xlwul-47043d.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.193.65","","xlwul-015ukp.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.193.68","","xlwul-461pw4.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.193.82","","xlwul-015ukw.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.194.17","","xlwul-461pw8.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.194.25","","xlwul-47112b.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.194.49","","xlwuw-472pyr.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.194.93","","xlwul-471129.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.195.51","","xlwuw-290t1j.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.195.97","","xlwuw-472pyw.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.195.135","","xlwuw-472pxt.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.195.169","","xlwuw-432lc1.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.195.173","AREA52\XLWUW-911MD03","xlwuw-911md03.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.53","AREA52\XLWUW-432L8F","xlwuw-432l8f.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.59","","xlwuw-472py6.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.65","AREA52\XLWUW-290T5B","xlwuw-290t5b.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.94","","52xlwuw3-480h2b.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.97","","xlwuw-472pz4.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.104","","xlwuw-472pyp.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.196.146","AREA52\XLWUW-DCLW52","xlwuw-dclw52.area52.afnoapps.usaf.mil"
"22024","Microsoft Internet Explorer Unsupported Version Detection","131.55.197.59","","xlwul-461pxl.area52.afnoapps.usaf.mil"
